,business_id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,category,,,,,
47913,Oto60yDwk1z72WmfWEYrjg,"""Baja Miguel's""",Southeast,"""South Point Hotel & Casino, 9777 S Las Vegas Blvd""",Las Vegas,NV,89183,36.0116878,-115.1757977,3,184,1,Mexican,,,,,
47951,Z3ZSar8IVAR2qIupqxMynA,"""Joe's New York Pizza""",Eastside,"""4480 Paradise Rd""",Las Vegas,NV,89169,36.108898,-115.151261,3.5,384,1,Italian,,,,,
48038,Fh97xI2CMySZnT1hCNpWPQ,"""Heidi's Brooklyn Deli""",Westside,"""7293 W Sahara Ave""",Las Vegas,NV,89117,36.1433538,-115.2512854,4.5,6,0,other,,,,,
48114,4Nj2ktP2NjCbv2aKeH3ZBg,"""Vesta Coffee Roasters""",Downtown,"""1114 S Casino Center Blvd""",Las Vegas,NV,89104,36.158305,-115.152506,4.5,128,1,other,,,,,
48206,XvOzizKafffkMuk-tIdNcQ,"""Squeeze In""",,"""8876 S Eastern Ave""",Las Vegas,NV,89123,36.02938062,-115.1151982,4,202,1,American,,,,,
48512,Tu3pgH2X_ml6rsD9dsr_vQ,"""Rikki Tiki Sushi""",Eastside,"""3000 Paradise Rd""",Las Vegas,NV,89109,36.13620483,-115.1514109,3,27,1,Japanese,,,,,
48599,L6kFtq-C4dJJZJGk5Q8vRw,"""New York Bagel Bakery""",Downtown,"""840 S Rancho Dr, Ste 16""",Las Vegas,NV,89106,36.1617046,-115.1734184,3,74,1,other,,,,,
48683,0AQnRQw34IQW9-1gJkYnMA,"""Diablo's Cantina""",The Strip,"""3770 Las Vegas Blvd S""",Las Vegas,NV,89109,36.10413266,-115.1735436,3,1134,0,Mexican,,,,,
48684,pLMPpaJ7whp86uL_3ezwMg,"""Stripburger""",The Strip,"""3200 Las Vegas Blvd S""",Las Vegas,NV,89109,36.127644,-115.168356,4,820,1,other,,,,,
48710,LsfKW67Qe_0bU4krXEkOAA,"""McDonald's""",,"""3451 W Tropicana Ave""",Las Vegas,NV,89103,36.1005627,-115.1863414,1.5,59,1,other,,,,,
48811,AT1bODcrWTKTRNZKRxO-cA,"""Streetcar Po-boys""",Westside,"""5201 W Charleston Blvd, Ste110""",Las Vegas,NV,89146,36.1587715,-115.2111012,4,30,0,other,,,,,
48926,cPaXllVOblQn3kHQ8olDsw,"""The Memory Thai""",Eastside,"""4005 E Desert Inn Rd""",Las Vegas,NV,89121,36.1292009,-115.0875234,3,60,1,other,,,,,
48945,r8Jr-7YfkhJL2nxk9lxUNg,"""Frank & Fina's Cocina""",Spring Valley,"""4175 S Grand Canyon Dr""",Las Vegas,NV,89147,36.1135548,-115.3073046,4,351,1,Mexican,,,,,
48953,x_L9NCBxx4Mb4cOnnRMibw,"""Double Yoke""",Centennial,"""6050 Sky Pointe Dr""",Las Vegas,NV,89130,36.2714828,-115.2606002,3.5,11,0,American,,,,,
48983,4lAwPgy1m9Rd0oBpi4Hr2w,"""McDonald's""",Downtown,"""301 Fremont St""",Las Vegas,NV,89101,36.16996439,-115.1428735,2,14,1,other,,,,,
49201,gdtZA3sVQ5Hk-3oPBArdLA,"""Ori'Zaba's Scratch Mexican Grill""",Spring Valley,"""9809 W Flamingo Rd""",Las Vegas,NV,89147,36.1147228,-115.3062183,4,103,1,Mexican,,,,,
49249,dwehZNFdzIMvOAKK7PsZqg,"""Byblos Cafe & Pastries""",,"""4825 W Flamingo Rd""",Las Vegas,NV,89103,36.1148713,-115.2066735,4.5,5,0,Mediterranean,,,,,
49326,pNVRNptxW2u_WhQ0Fs-g9A,"""8th Ave Pizza""",Southwest,"""11370 Southern Highlands Pkwy, Ste 110""",Las Vegas,NV,89141,35.9829421,-115.1903878,3,103,1,other,,,,,
49340,yvqcZrHixuf_oIUW83xUcQ,"""Macayo's Mexican Restaurant""",Westside,"""8245 W Sahara Ave""",Las Vegas,NV,89117,36.1434972,-115.2707372,3,182,1,Mexican,,,,,
49397,6Vyp-9i1jzwK_bvisuPJpQ,"""Lobster ME""",The Strip,"""3663 Las Vegas Blvd""",Las Vegas,NV,89101,36.10940205,-115.1706801,3.5,940,1,other,,,,,
49708,4uISbaUPJLVECBHIi3tpxA,"""Wazuzu""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.12757,-115.166312,3.5,459,1,other,,,,,
49821,7NTq15OzsVcDuceKuusvBw,"""Joe's Crab Shack""",Spring Valley,"""9827 W Flamingo Rd""",Las Vegas,NV,89147,36.1142829,-115.3064409,3,7,0,other,,,,,
49861,jovBGZAYjGRusbKPnePufA,"""Brown Rice Thai Kitchen""",Summerlin,"""1910 Village Center Cir, Ste 3""",Las Vegas,NV,89134,36.19329144,-115.3040919,4,96,1,other,,,,,
49877,YCfGBnOZl8mGi7m7oWf4rg,"""Prickly Pear Cafe""",Southeast,"""5757 Wayne Newton Blvd""",Las Vegas,NV,89119,36.0838389,-115.148385,2,4,1,other,,,,,
49918,fNldo9xOxo-av2_1Q4U9JQ,"""Fatburger""",Westside,"""4851 W Charleston Blvd""",Las Vegas,NV,89146,36.1588472,-115.2075095,3.5,7,0,Fast Food,,,,,
50087,g8OnV26ywJlZpezdBnOWUQ,"""Hash House A Go Go""",Westside,"""6800 W Sahara Ave""",Las Vegas,NV,89146,36.144667,-115.239955,4,3050,1,American,,,,,
50117,Q283sagGad1VlOncWykBKQ,"""Subway""",Sunrise,"""5695 E Charleston Blvd, Ste 138""",Las Vegas,NV,89142,36.15886052,-115.0493944,2.5,8,1,Fast Food,,,,,
50161,YoJt2bvCrYMSSyoeUO-YTg,"""PT's""",Sunrise,"""6055 E Lake Mead Blvd""",Las Vegas,NV,89156,36.1955901,-115.0404592,3.5,15,1,American,,,,,
50162,aQ222ydz_GSRZV66xNt4kQ,"""Sen of Japan""",Westside,"""8480 W Desert Inn Rd, Ste F1""",Las Vegas,NV,89117,36.1298813,-115.276416,4.5,441,1,Japanese,,,,,
50248,WEeMwRLhgCyO1b4kikVcuQ,"""Ketchup Premium Burger Bar""",The Strip,"""3663 Las Vegas Blvd S, Ste 410""",Las Vegas,NV,89109,36.10994931,-115.1687445,3,240,1,other,,,,,
50350,nWuomYtU748irUOWo_xohg,"""Church's Chicken""",,"""601 N Rancho Dr""",Las Vegas,NV,89106,36.1774463,-115.1764027,3.5,14,1,Fast Food,,,,,
50394,1VTezD8PLosh-FeNxSRQ7g,"""Rare 120""",Eastside,"""Hard Rock Hotel and Casino, 4455 Paradise Rd""",Las Vegas,NV,89169,36.1295416,-115.1325897,3,76,0,other,,,,,
50397,axX1hO_lEn9C-na3mMN4Aw,"""Bailiwick""",,"""4500 W Tropicana Ave""",Las Vegas,NV,89103,36.10220867,-115.202485,4,119,1,other,,,,,
50415,uwTzA758DKewtUJMe-C1fA,"""Coconut Bistro""",Eastside,"""3025 E Desert Inn Rd, Ste B15""",Las Vegas,NV,89121,36.1296022,-115.1085145,4,4,0,other,,,,,
50453,aDkbxQb4CVXuV9tJx22ukw,"""Times Square To Go""",,"""3790 Las Vegas Blvd S""",Las Vegas,NV,89136,36.175,-115.136389,3,16,1,other,,,,,
50478,inkeT1aob-iZWbj3o_UQCA,"""El Chamizal Restaurant & Mexican Grill""",,"""1054 N Rancho Dr""",Las Vegas,NV,89106,36.1828414,-115.1808549,2,9,1,Mexican,,,,,
50505,3fPIRTnBhd81MixgS9YoMQ,"""California Pizza Kitchen""",The Strip,"""3200 Las Vegas Blvd S""",Las Vegas,NV,89109,36.127512,-115.1735621,4,178,1,American,,,,,
50562,K5Ex8diP6rIh8P16D8KHVA,"""Sammy's Woodfired Pizza and Grill""",Centennial,"""7160 N Durango Dr, Ste 110""",Las Vegas,NV,89149,36.29144151,-115.2871329,4,98,0,other,,,,,
50726,Qj1BoynaIVZiKEe8Peq3_g,"""Eats Italian""",The Strip,"""3355 Las Vegas Blvd S""",Las Vegas,NV,89109,36.12212925,-115.1696676,2,17,1,Italian,,,,,
50938,MMfVS56z0AZXbO3C9vHbVg,"""Pizza Hut""",Summerlin,"""10260 W Charleston Blvd""",Las Vegas,NV,89135,36.1594924,-115.3194631,2,35,1,other,,,,,
51219,8REOSFVMO-E1VrmLvY49Tg,"""Home-Made Ice Cream""",Westside,"""3315 S Valley View Blvd""",Las Vegas,NV,89102,36.1298994,-115.190887,3,10,1,other,,,,,
51313,oh-aOlWk7zIPFmxmFMoRdg,"""Carl's Jr""",Southwest,"""4970 Blue Diamond Rd""",Las Vegas,NV,89139,36.0325622,-115.2093438,2.5,44,1,Fast Food,,,,,
51654,V6u7__4jbEDOgWR8K6qUSw,"""El Gran Taco""",Eastside,"""4924 E Tropicana Ave""",Las Vegas,NV,89121,36.1003325,-115.0662215,3.5,8,1,Mexican,,,,,
51772,#NAME?,"""In-N-Out Burger""",,"""1960 Rock Springs Dr""",Las Vegas,NV,89128,36.1956632,-115.2465134,4,160,1,Fast Food,,,,,
52151,_aIQsyaRn7CJh8gWSbuJgA,"""Ichiban West""",Spring Valley,"""5025 S Fort Apache Rd, Ste 101""",Las Vegas,NV,89148,36.09791129,-115.2977933,4.5,22,0,Japanese,,,,,
52173,5xdKUuu4DbJ71KGbwRXfFg,"""Ramen KoBo""",Spring Valley,"""7040 S Durango Dr""",Las Vegas,NV,89113,36.06046537,-115.2787486,4,361,1,Japanese,,,,,
52231,UhyDVz7npxKUl9BfMpfmBw,"""Frijoles and Frescas Grilled Tacos""",Westside,"""4300 Meadows Ln""",Las Vegas,NV,89107,36.17254364,-115.1957243,3.5,18,1,Mexican,,,,,
52288,sKA6EOpxvBtCg7Ipuhl1RQ,"""Sapporo Revolving Sushi""",Chinatown,"""4671 Spring Mountain Rd""",Las Vegas,NV,89102,36.1257099,-115.2044141,4.5,31,1,Japanese,,,,,
52298,axJFWAeEJ-kRs8LFy8ow1A,"""Cafe Hookah""",University,"""4440 S Maryland Pkwy""",Las Vegas,NV,89119,36.1087848,-115.1370794,3.5,3,1,Mediterranean,,,,,
52342,lYlVsbhDrglWDdhh7OTM2w,"""Rendezvous Cafe""",,"""2341 N Rainbow Blvd""",Las Vegas,NV,89108,36.2029728,-115.2424433,4.5,7,0,other,,,,,
52411,#NAME?,"""Sugar Factory""",The Strip,"""3200 S Las Vegas Blvd, Ste 1240""",Las Vegas,NV,89109,36.12677,-115.169178,3.5,383,1,other,,,,,
52487,a2OCO4yHDEifuKzjor_yRQ,"""PT's""",Southeast,"""3470 E Sunset Rd""",Las Vegas,NV,89120,36.0718066,-115.0991547,3,44,1,other,,,,,
52546,L_ZLtfHvfzfoNVQ0-okTXg,"""SW Steakhouse""",The Strip,"""3131 Las Vegas Blvd S""",Las Vegas,NV,89109,36.12616708,-115.1668137,4,1048,1,other,,,,,
52627,y7TV2trR4B9sbgXtyrqv8Q,"""Lucky Penny""",,"""4321 W Flamingo Rd""",Las Vegas,NV,89103,36.11448328,-115.1948137,4,59,1,other,,,,,
52666,Fyuotg1ShiQZLtV5Dmjakg,"""Chinese Village Restaurant & Lounge""",,"""608 N Rainbow Blvd""",Las Vegas,NV,89107,36.179355,-115.241372,3,21,0,Chinese,,,,,
52718,b1Dfmn7cmXU3GnlpNHnH7A,"""Philly Steak and Pizza Express""",Southeast,"""9400 S Eastern Ave, Unit 106A""",Las Vegas,NV,89123,36.0182263,-115.1179256,2,4,1,other,,,,,
52876,kmdFk8ETfXiuoS364jaJFA,"""Garden Buffet""",Southeast,"""South Point Hotel & Casino, 9777 S Las Vegas Blvd""",Las Vegas,NV,89183,36.01143871,-115.1749124,2.5,311,1,Buffets,,,,,
52944,bw_bCNXNBrgarlmrgURkoA,"""Wendy's""",Sunrise,"""990 N Nellis Blvd""",Las Vegas,NV,89110,36.1774767,-115.0616815,2.5,19,1,Fast Food,,,,,
53015,WlTeMP8p3m1b3LxkfBllLQ,"""Sonic Drive-In""",Southeast,"""6135 S Pecos Rd""",Las Vegas,NV,89120,36.07834,-115.101509,3,37,1,Fast Food,,,,,
53058,8nDEOGVVvReXFJ2zjPh4Pw,"""Denny's""",,"""5318 Boulder Hwy""",Las Vegas,NV,89122,36.10612981,-115.057792,2.5,48,1,American,,,,,
53149,EGI8uU1uf0msVtu8XDrNIw,"""Rincon Criollo""",Downtown,"""1145 Las Vegas Blvd S""",Las Vegas,NV,89104,36.1572513,-115.1481734,4,65,0,other,,,,,
53261,JrohSmutzhdJ5QGRMtaojg,"""Subway""",The Strip,"""3770 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1051256,-115.1752326,3,7,1,Fast Food,,,,,
53268,CH3GQlTeeCdT51ddJAxwVg,"""Buzz BBQ""",Spring Valley,"""9640 W Tropicana Ave, Ste 101""",Las Vegas,NV,89147,36.101065,-115.30239,3.5,105,0,other,,,,,
53285,H99aadKfIQ3RZ6joDn7FuQ,"""Subway""",Northwest,"""6020 W Craig Rd, Ste 130""",Las Vegas,NV,89130,36.2393761,-115.2267749,3,7,1,other,,,,,
53296,3RiFtEJ6AAvS0x_z38HChw,"""Pita Pit""",University,"""4680 S Maryland Pkwy""",Las Vegas,NV,89119,36.104435,-115.1367851,4,44,0,Fast Food,,,,,
53607,Ql_J2DSIE8QYp5rXf3721A,"""Cafe Chloe""",Spring Valley,"""4155 S Buffalo Dr, Ste 114""",Las Vegas,NV,89147,36.11331,-115.2618657,3.5,36,1,Italian,,,,,
53667,kvxSYzWonG0Gf0TlOF0nkA,"""Taco Bell""",Westside,"""401 S Decatur Blvd""",Las Vegas,NV,89107,36.168265,-115.20571,3.5,19,1,Fast Food,,,,,
53670,deuHIeaTY8ns_GZAxU5H9g,"""Capriotti's Sandwich Shop""",Southeast,"""9620 Las Vegas Blvd, Ste E5""",Las Vegas,NV,89123,36.01470796,-115.1713351,4,179,1,other,,,,,
54127,KUbCQ2ah__c5x0q_6b4oTA,"""Mar Y Tierra""",,"""712 N Eastern Ave""",Las Vegas,NV,89101,36.175947,-115.115747,4.5,14,1,Mexican,,,,,
54269,S6V63OzrCaj22BQJeKBDCw,"""Taco Time""",Southwest,"""8050 Dean Martin Dr""",Las Vegas,NV,89139,36.043512,-115.186375,3,36,1,Mexican,,,,,
54339,6ZtGxbWeQPen-ecU4ZBz9w,"""Cafe Wasabi""",Westside,"""7365 W Sahara Ave""",Las Vegas,NV,89117,36.1430817,-115.2536257,4,8,0,Japanese,,,,,
54430,wdsGP5rJinx0J5GcGzPQUw,"""TJ's Steakhouse""",Eastside,"""3000 Paradise Rd""",Las Vegas,NV,89109,36.1362575,-115.1512526,4,61,0,other,,,,,
54484,d0N5HcdMCeXcX81hcRVUFw,"""McDonald's""",Southeast,"""2550 E Sunset Rd""",Las Vegas,NV,89120,36.0719183,-115.11538,2.5,26,1,Fast Food,,,,,
54773,eGLnLiKt58jHNjGVw149Nw,"""Tacos Mexico""",,"""3575 W Tropicana Ave""",Las Vegas,NV,89118,36.100396,-115.187333,2.5,9,0,Mexican,,,,,
54839,ZDvS8DtnkYa8jY703MflEw,"""Badger Cafe""",Eastside,"""1801 E Tropicana Ave, Ste 8""",Las Vegas,NV,89119,36.1000666,-115.1273475,4,143,1,American,,,,,
54893,UN_48kF4j4jjHQXLbQhaZw,"""Cilantro Taco Grill""",Downtown,"""321 S Casino Center Blvd""",Las Vegas,NV,89101,36.1676142,-115.1458883,1.5,3,1,Mexican,,,,,
54985,rdej8lNWQQTqXB-SlJqtbg,"""The Lodge Tenaya""",Northwest,"""5717 Sky Pointe Dr""",Las Vegas,NV,89130,36.26419,-115.25249,3,49,1,other,,,,,
55019,BoofbNU85LCG3pm9vpzk1A,"""Danna's Caribbean Grill""",Downtown,"""321 S Casino Center Blvd, Ste 130""",Las Vegas,NV,89101,36.1673732,-115.1458073,4.5,11,1,other,,,,,
55158,7SLZwNRhc2bpUXQXLypTTg,"""Burger King""",Northwest,"""6080 W Craig Rd""",Las Vegas,NV,89130,36.23955838,-115.2284606,1.5,10,1,other,,,,,
55209,hImWJjaB0hvWQ7tlxGYMMw,"""Pizza Hut""",Southwest,"""8090 Blue Diamond Rd, Ste 140""",Las Vegas,NV,89178,36.02091795,-115.2674888,2,71,1,Italian,,,,,
55274,#NAME?,"""La Costa Del Sol""",Sunrise,"""2208 S Nellis Blvd""",Las Vegas,NV,89104,36.1470589,-115.0644991,3.5,37,1,Mexican,,,,,
55439,WKbfG_4203Kn__5rHFk9Gg,"""Fado Irish Pub""",Southeast,"""9470 Eastern Ave""",Las Vegas,NV,89123,36.017605,-115.1178915,3.5,22,0,other,,,,,
55611,v-RQugtZbhnINBqrIZ9l9A,"""Tacos LV""",Westside,"""342 S Decatur Blvd""",Las Vegas,NV,89107,36.16885214,-115.2078001,4,5,0,Mexican,,,,,
55644,suLXZUWsh53kzoTVnO4gng,"""Sonic Drive-In""",Westside,"""6455 W Sahara Ave""",Las Vegas,NV,89146,36.1435161,-115.2330284,3,83,1,American,,,,,
55732,wYEAocX0vkcGN-i5rSszrg,"""El Patron Mexican Restaurant & Oyster Bar""",Eastside,"""2797 S Maryland Pkwy""",Las Vegas,NV,89109,36.13884,-115.137903,3.5,22,0,Mexican,,,,,
55810,wLaY0Tp4P1idAu4NUpdOSA,"""Super B Burrito""",Southeast,"""4935 Palo Verde Rd""",Las Vegas,NV,89119,36.10067306,-115.1485634,3,5,0,Mexican,,,,,
55847,XeDLyY2a7nZ3IEY4RYslXA,"""Chicago Brewing Company""",Westside,"""2201 S Fort Apache Rd""",Las Vegas,NV,89117,36.1474961,-115.2980652,3.5,420,1,American,,,,,
56028,3nWXxSCR6q7SVxHvsUUeWg,"""Flavor Bomb LV""",Westside,"""""",Las Vegas,NV,89146,36.135635,-115.2304131,4.5,5,1,other,,,,,
56080,1WsXLCPRP2EZ9KoBRTkSbw,"""PT's""",,"""7200 W Lake Mead""",Las Vegas,NV,89128,36.1965066,-115.2486868,4,23,1,American,,,,,
56084,Qd3wk-U-QeN4asKBhDaOoA,"""Weinerschnitzel""",Southeast,"""7390 S Las Vegas Blvd, Ste 100""",Las Vegas,NV,89123,36.055269,-115.171549,4,4,0,Fast Food,,,,,
56134,BIwjYT9nqbkF7kbzne-tmQ,"""Wolfgang Puck Express""",Southeast,"""6075 Spencer St""",Las Vegas,NV,89119,36.0805041,-115.1281285,2,3,1,American,,,,,
56198,XWxYHSld0T2TfANwt1KmqA,"""Cafe Americano""",The Strip,"""3570 S Las Vegas Blvd""",Las Vegas,NV,89109,36.115557,-115.174632,3.5,218,1,American,,,,,
56296,Tz3lmsFCS1e8rUkXuHW9mw,"""IHOP""",Sunrise,"""352 N Nellis Blvd, Ste G""",Las Vegas,NV,89110,36.165604,-115.0616061,2.5,44,1,American,,,,,
56350,Ozy5LlmU0k-mVs7RXNisZQ,"""Subway""",Southeast,"""7620 S Las Vegas Blvd""",Las Vegas,NV,89123,36.0512,-115.17154,2.5,12,1,Fast Food,,,,,
56363,O7D3kO1YMq3xfQG4sasZcA,"""Subway""",Sunrise,"""4915 E Charleston Blvd""",Las Vegas,NV,89104,36.1587061,-115.0675277,2,7,1,other,,,,,
56542,pbeRNz7IU9rBqDOJcJf6LQ,"""La Palapa""",,"""1515 N Eastern Ave""",Las Vegas,NV,89101,36.1871651,-115.1166748,4,35,1,Mexican,,,,,
56662,77KuSFMOXqRGqcV9NJjzDA,"""Dirty South""",Northwest,"""5081 N Rainbow Blvd, Ste 100""",Las Vegas,NV,89130,36.254519,-115.242815,2,7,0,other,,,,,
56754,k-3nsmnnq4cnUutgOVEjaQ,"""Pizzarelli""",Sunrise,"""1288 S Nellis Blvd""",Las Vegas,NV,89104,36.1573631,-115.0620928,3,4,0,other,,,,,
56794,J2LJ1IuLOj_BYyP8lUa7iA,"""Las Vegas Chinatown""",Chinatown,"""4255 Spring Mountain Rd, Ste C201""",Las Vegas,NV,89102,36.125847,-115.196997,4,5,1,Chinese,,,,,
56958,#NAME?,"""The Cafe at Monte Carlo""",The Strip,"""Monte Carlo Hotel and Casino, 3770 Las Vegas Blvd S""",Las Vegas,NV,89109,36.10478136,-115.1746627,2.5,140,0,American,,,,,
57023,8menaxER6kxM_Lyi5tBmSA,"""Subway""",The Strip,"""3355 Las Vegas Blvd""",Las Vegas,NV,89109,36.12120646,-115.1686644,1.5,5,1,other,,,,,
57027,t7Zsr25NK1NlXbS_2CYc1Q,"""Fazoli's 5268""",Spring Valley,"""5260 S Fort Apache Rd""",Las Vegas,NV,89148,36.0935509,-115.296638,3,12,0,Italian,,,,,
57031,OQcvO5P3gH0cuJ-bPXwfQQ,"""Mi Pueblo Taco Shop""",,"""1920 N Decatur Blvd""",Las Vegas,NV,89108,36.19470071,-115.2051706,4.5,81,1,Mexican,,,,,
57098,JMpATuCfHzeP-DASD7DpXQ,"""Super Burrito""",Northwest,"""c/o Rancho Dr & Craig Rd""",Las Vegas,NV,89130,36.2396982,-115.23255,4,3,0,Mexican,,,,,
57124,px2l_fl2_LlVthj50T7o2g,"""China Joe's""",Southeast,"""7231 S Eastern Ave, Ste D""",Las Vegas,NV,89119,36.0588502,-115.1199915,2.5,52,1,Chinese,,,,,
57237,U3Nkc5DkKNRpBrHmwf4qRA,"""Outback Steakhouse""",Eastside,"""4141 S Pecos Rd""",Las Vegas,NV,89121,36.1140254,-115.1014077,3,11,0,other,,,,,
57300,0c6PQILCLwRZ8FIB4AEsGw,"""China One - West Charleston""",Summerlin,"""11710 W Charleston Blvd, Ste 140""",Las Vegas,NV,89135,36.15937617,-115.3506779,3.5,107,1,Chinese,,,,,
57407,9NwXHbKyJOhX9nxjRi0AcQ,"""Auntie Anne's""",The Strip,"""2880 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1378447,-115.1654364,3,8,1,other,,,,,
57614,TwVFGd4kan9K6ptwGaZdOQ,"""Liang's Kitchen""",Chinatown,"""4350 Spring Mountain Rd, Ste119""",Las Vegas,NV,89102,36.12766352,-115.198,3.5,42,0,Chinese,,,,,
57711,FykLjv4tIq618q8F2pvTKg,"""Krazy Buffet""",Northwest,"""3131 N Rainbow Blvd""",Las Vegas,NV,89108,36.2174113,-115.2427036,3,174,1,Chinese,,,,,
57789,V2owu-O0rrlsGup3FMz2qQ,"""Taco Bell""",Spring Valley,"""4835 S. Ft. Apache""",Las Vegas,NV,89147,36.10006,-115.29728,2.5,30,1,Fast Food,,,,,
57845,lpMhUAPJogZWwRgM2HNRJQ,"""The Broiler""",,"""Palace Station Hotel & Casino, 2421 W Sahara Ave""",Las Vegas,NV,89102,36.1441893,-115.1744492,3.5,26,0,other,,,,,
57970,AMTNJbYbu0OMMAkx4meQxw,"""Circo""",The Strip,"""Bellagio Las Vegas, 3600 S Las Vegas Blvd""",Las Vegas,NV,89109,36.11199,-115.177001,4,199,0,Italian,,,,,
57979,dhoyGQK6mEZG2gnlm9iz5w,"""El Dorado Mexican Grill""",Centennial,"""7501 N Cimarron Rd""",Las Vegas,NV,89131,36.29733,-115.270268,4.5,3,0,Mexican,,,,,
58105,KN-JL6uWCfDubCztgZ6zdw,"""Zydeco Po-Boys""",Downtown,"""616 E Carson Ave, Ste 140""",Las Vegas,NV,89101,36.16761749,-115.1401375,4.5,133,0,other,,,,,
58123,MfC-gz4G9vs7I2A28ino6Q,"""House of J Cafe""",Southeast,"""9890 S Maryland Pkwy""",Las Vegas,NV,89183,36.0102597,-115.1364187,3.5,9,0,other,,,,,
58295,iAu8s96GKQ73Xe7j_2GyCQ,"""Jackson's Bar & Grill""",,"""6020 W Flamingo Rd""",Las Vegas,NV,89103,36.1153219,-115.2235825,4,217,1,American,,,,,
58315,F_grYTnIPE1_Wwlfvt0J4Q,"""Subway""",,"""2411 W Sahara Ave""",Las Vegas,NV,89102,36.14286834,-115.1751612,3,7,1,other,,,,,
58610,AiLlU89krS-2QG5bO5dcjw,"""Country Kitchen""",Downtown,"""23 N Mojave Rd""",Las Vegas,NV,89101,36.160158,-115.10591,4,3,0,other,,,,,
58611,jv1sbEWUJRHeUff1xZtqWg,"""Del Taco""",Southwest,"""3922 Blue Diamond Rd""",Las Vegas,NV,89139,36.04017868,-115.1918763,3,31,1,Mexican,,,,,
58924,9apCvu75wELDFia_usTjlg,"""Oyster Bar""",Westside,"""Suncoast Hotel & Casino, 9090 Alta Dr""",Las Vegas,NV,89145,36.169345,-115.291282,3,23,0,other,,,,,
59241,OmmYZ3jd3x4AUE26OG91Xw,"""Asia Buffet""",The Strip,"""3049 S Las Vegas Blvd""",Las Vegas,NV,89109,36.1316722,-115.1642599,3.5,3,1,Buffets,,,,,
59244,AdNbLQQWgR28-GWU0G-qJw,"""Denny's""",,"""2400 N Rancho Dr""",Las Vegas,NV,89130,36.20122775,-115.195254,2,16,1,other,,,,,
59446,gqdqnFg2lYeSyS20q2ZK_Q,"""SUZUYA Pastries & Crepes""",Spring Valley,"""7225 S Durango Dr, Ste 101""",Las Vegas,NV,89113,36.0569792,-115.2801062,4.5,404,1,other,,,,,
59673,75lNzRwmjHpuMwSaNxrMBw,"""Muncheeze""",The Strip,"""""",Las Vegas,NV,89109,36.128561,-115.1711298,3,18,0,other,,,,,
59737,yi9725wjRYYEoF-xE47_ig,"""El Nopal""",The Strip,"""2000 S Las Vegas Blvd""",Las Vegas,NV,89104,36.1476947,-115.1563056,3.5,46,1,Mexican,,,,,
59771,iuaFpqtQOMgX5y56lIUrxg,"""Island Fusion""",Westside,"""7905   W Sahara Ave""",Las Vegas,NV,89117,36.1431878,-115.2636501,4.5,11,0,other,,,,,
59850,#NAME?,"""Medley Buffet""",,"""4500 W Tropicana Ave""",Las Vegas,NV,89103,36.10272319,-115.2025938,3,360,1,Buffets,,,,,
59851,3sPSc8NBvrkXi7scpRYDLg,"""Hello Tokyo""",Eastside,"""3870 E Flamingo Rd""",Las Vegas,NV,89121,36.1162016,-115.0901969,4,87,0,Japanese,,,,,
59897,V-0qRzBHKixmQgon_fW_AA,"""Makai Pacific Island Grill""",Spring Valley,"""5165 S Fort Apache Rd, Ste 150""",Las Vegas,NV,89148,36.0957104,-115.2982167,4.5,436,1,American,,,,,
59950,q6Wa5iJwcuBxMpI2kZXUAQ,"""Robertos Taco Shop""",Westside,"""5117 W Charleston""",Las Vegas,NV,89146,36.15871694,-115.2087014,2.5,51,1,Mexican,,,,,
59964,g6w4kX7tvCqGKAxr07aBQA,"""Carson Street Cafe""",,"""Golden Nugget Las Vegas, 129 Fremont St""",Las Vegas,NV,89101,36.16864538,-115.1236725,2.5,60,0,American,,,,,
59971,UZDoRmJzWquqy7jstth1FA,"""Pizza Hut""",Eastside,"""3000 Paradise Rd, Westgate""",Las Vegas,NV,89109,36.1362575,-115.1512526,2,4,0,other,,,,,
59972,c-uuAPbSpRGR0vPUHlRQRw,"""Hamada of Japan""",Eastside,"""365 E Flamingo Rd""",Las Vegas,NV,89109,36.1141972,-115.1551142,3,62,0,Japanese,,,,,
60007,1M1A-s6BbnzK3eURw01rZQ,"""Rincon Catracho""",University,"""4110 S Maryland Pkwy""",Las Vegas,NV,89119,36.1141384,-115.1374011,3.5,59,1,Mexican,,,,,
60025,M4vh_kzppP1nsxo7hsaVIA,"""Golden Nugget Buffet""",Downtown,"""129 E Fremont St""",Las Vegas,NV,89101,36.170044,-115.144858,2.5,285,1,Buffets,,,,,
60045,e6m1p7oPbq7Gq37eMhSsWA,"""Joey's New York Pizza""",Summerlin,"""9430 W Lake Mead Blvd, Ste 9""",Las Vegas,NV,89134,36.20682683,-115.3023191,5,13,1,other,,,,,
60390,Vv3jTDk4epPDr0oBTMZ4dQ,"""Fuji Japanese Restaurant""",Eastside,"""3430 E Tropicana Ave, Ste 30""",Las Vegas,NV,89121,36.1006486,-115.099351,4,25,0,Japanese,,,,,
